All,Tümü
"Force Sign-In","Oturum açmak için zorla"
"New Customer","Yeni Müşteri"
"Shopping Cart from %1","%1 üzerinden alışveriş sepeti"
Newsletter,Bülten
"Newsletter Information","Duyuru Bilgisi"
"Subscribed to Newsletter","Bültenimize abone olun"
"Last Date Subscribed","Son abonelik tarihi"
"Last Date Unsubscribed","Son abonelikten çıkış tarihi"
"No Newsletter Found","Duyuru bulunamadı"
"Start date","Başlangıç tarihi"
"Receive Date","Alınma Tarihi"
Subject,Konu
Sent,Gönderildi
"Not Sent",Gönderilmedi
Sending,Gönderiliyor
Paused,Duraklatıldı
Unknown,Bilinmeyen
"Bill-to Name","Fatura adı"
"Ship-to Name","İsme Sevk"
"Purchase Point","Satın alma Noktası"
"There are no items in customer's shopping cart.","Müşterinin alışveriş sepeti içinde hiçbir ürün bulunmamaktadır."
Confirmed,Onaylandı
"Confirmation Required","Onay Gerekli"
"Confirmation Not Required","Onay gerekli değildir"
Indeterminate,Belirsiz
"The customer does not have default billing address.","Müşterinin varsayılan fatura adresi bulunmamaktadır."
Offline,Çevrimdışı
Online,Çevrimiçi
Never,Asla
Unlocked,"Kilit kaldırıldı"
Locked,Kilitli
"Deleted Stores","Mağazaları Sil"
"Add Locale","Yerel ayar ekle"
"Add Date","Tarih ekle"
"Days in Wish List","İstek Listesindeki Gün Sayısı"
Unlock,"Kilidi kaldır"
"Delete Image","Resim Sil"
"View Full Size","Tam Boyutu Göster"
"All countries","Tüm ülkeler"
"Add New Customer Group","Yeni Müşteri Grubu Ekle"
"Save Customer Group","Müşteri Grubunu Kaydet"
"Delete Customer Group","Müşteri Grubunu Sil"
"New Customer Group","Yeni Müşteri Grubu"
"Edit Customer Group ""%1""","Müşteri grubu düzenleme ''%1''"
"Group Information","Grup Bilgisi"
"Group Name","Grup Adı"
"Maximum length must be less then %1 characters.","En fazla uzunluk %1 karakterden az olmalıdır."
"Tax Class","Vergi Sınıfı"
"The customer is now assigned to Customer Group %s.","Müşteri şu an %s Müşteri Grubuna atandı."
"Would you like to change the Customer Group for this order?","Bu sipariş için Müşteri Grubunu değiştirmek ister misiniz?"
"The VAT ID is valid.","Vergi kimliği geçerli."
"The VAT ID entered (%s) is not a valid VAT ID.","Girdiğiniz VAT (%s) geçerli bir VAT değildir."
"The VAT ID is valid. The current Customer Group will be used.","Vergi numarası geçerli. Mevcut müşteri grubu kullanılacak."
"The VAT ID is valid but no Customer Group is assigned for it.","KDV numarası geçerli, ancak herhangi bir müşteri grubu için atanır."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Vergi kimliğine göre, müşteri %s müşteri grubuna dahildir."
"Something went wrong while validating the VAT ID.","Vergi kimliği doğrulanırken bir şeyler ters gitti."
"The customer would belong to Customer Group %s.","Müşteri, %s müşteri grubuna dahildir."
"There was an error detecting Customer Group.","Müşteri Grubu tespit edilirken bir hata oluştu."
"Validate VAT Number","Vergi Numarasını Doğrula"
"Customer Login","Müşteri E-posta Adresi"
"Create New Customer Account","Yeni Müşteri Hesabı"
"Date of Birth","Doğum Tarihi"
"Bad request.","Hatalı istek."
"This confirmation key is invalid or has expired.","Bu doğrulama anahtarı geçersiz veya süresi dolmuş."
"There was an error confirming the account","Hesabı doğrularken bir hata oluştu"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Kayıtlı bir vergi ödeyicisi iseniz, uygun vergi hesaplaması ve gönderim adresini girmek için lütfen tıklayın <a href=""%1"">here</a>."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Kayıtlı bir KDV müşteri iseniz, fatura adresi girerek ilgili KDV hesaplanması için lütfen <a href=""%1""> buraya</a> tıklayınız."
"Thank you for registering with %1.","Kayıt olduğunuz için teşekkür ederiz %1."
"Please check your email for confirmation key.","Lütfen onay anahtarınız için e-posta adresinizi kontrol ediniz."
"This email does not require confirmation.","Bu e-posta adresi için doğrulamaya gerek yoktur."
"Wrong email.","Hatalı e-posta."
"Your password reset link has expired.","Şifre sıfırlama bağlantısının kullanım süresi doldu."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Bu e-posta adresine zaten sahip bir hesap var. E-posta adresinizden eminseniz, şifrenizi almak ve hesabınıza erişmek için <a href=""%1""> click here </a>."
"We can't save the customer.","Müşteri kaydedilemiyor."
"Please make sure your passwords match.","Lütfen şifrelerinizin uyuştuğundan emin olun."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Kayıtlı bir vergi ödeyicisi iseniz, uygun vergi hesaplaması ve gönderim adresini girmek için lütfen tıklayın <a href=""%1"">here</a>."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Kayıtlı bir KDV müşteri iseniz, fatura adresi girerek ilgili KDV hesaplanması için lütfen <a href=""%1""> buraya</a> tıklayınız."
"You saved the account information.","Hesap bilgileriniz kaydedildi."
"Password confirmation doesn't match entered password.","Şifre onayı, girilen parola ile eşleşmiyor."
"The password doesn't match this account.","Parola bu hesapla eşleşmiyor."
"Please correct the email address.","Lütfen e-posta adresini düzeltin."
"We're unable to send the password reset email.","Parola sıfırlama e-postası gönderilemedi."
"Please enter your email.","Lütfen e-posta adresinizi giriniz."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Sizinle ilişkili bir hesap varsa %1, şifrenizi sıfırlamak için bağlantı içeren bir e-posta alacaksınız."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Bu hesap doğrulanmamıştır. Onay e-postasını tekrar göndermek için <a href=""%1"">Click here</a>."
"An unspecified error occurred. Please contact us for assistance.","Belirlenemeyen bir hata meydana geldi. Yardım almak için lütfen bizimle iletişime geçin."
"A login and a password are required.","Kullanıcı adı ve şifre zorunludur."
"New Password and Confirm New Password values didn't match.","Yeni Parola ve Yeni Parolayı Onaylama değerleri eşleşmedi."
"Please enter a new password.","Lütfen yeni bir parola girin."
"You updated your password.","Parolanızı güncellediniz."
"Something went wrong while saving the new password.","Yeni şifreyi kaydederken bir sorun oluştu."
"You deleted the address.","Adresinizi sildin."
"We can't delete the address right now.","Şu anda adres silinemiyor."
"You saved the address.","Adresinizi kaydettiniz."
"We can't save the address.","Adres kaydedilemiyor."
"No customer ID defined.","Müşteri kimliği tanımlanamadı."
"Please correct the quote items and try again.","Lütfen teklif öğelerini düzeltin ve tekrar deneyin."
"You have revoked the customer's tokens.","Müşterinin simgelerini iptal ettiniz."
"We can't find a customer to revoke.","İptal etmek için bir müşteri bulamıyoruz."
"Something went wrong while saving file.","Dosya kaydedilirken bir hata oluştu."
"You deleted the customer group.","Müşteri grubunu sildiniz."
"The customer group no longer exists.","Müşteri grubu artık yok."
"New Group","Yeni Grup"
"New Customer Groups","Yeni Müşteri Grupları"
"Edit Group","Grubu Düzenle"
"Edit Customer Groups","Müşteri Gruplarını Düzenle"
"You saved the customer group.","Müşteri grubunu kaydettiniz."
"Please select customer(s).","Lütfen müşteri(leri) seçiniz."
"Customer could not be deleted.","Müşteri silinemedi."
"You deleted the customer.","Müşteriyi siz sildiniz."
"Something went wrong while editing the customer.","Müşteriyi düzenlerken bir sorun oluştu."
"Manage Customers","Müşterileri Yönet"
"The customer will receive an email with a link to reset password.","Müşteri, şifre sıfırlama bağlantısı olan bir e-posta alacaktır."
"Something went wrong while resetting customer password.","Müşteri şifresini sıfırlarken bir hata oluştu."
"You saved the customer.","Müşteriyi kaydettiniz."
"Something went wrong while saving the customer.","Müşteriyi kaydederken bir şeyler ters gitti."
"Customer has been unlocked successfully.","Müşteri kilidi başarıyla kaldırıldı."
"Online Customers","Çevrimiçi Müşteriler"
"Customers Now Online","Müşteriler Şimdi Çevrimiçi"
"Please define Wish List item ID.","Lütfen İstek Listesi ürün kimliğini tanımlayın."
"Please load Wish List item.","Lütfen İstek Listesi ürününü yükleyin."
"Login successful.","Giriş başarılı."
"""%1"" section source is not supported","''%1'' Bölüm kaynağı desteklenmiyor"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 şunu genişletmiyor: \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Onay gerekli değil."
"Account already active","Hesap zaten aktif"
"Invalid confirmation token","Geçersiz doğrulama simgesi"
"The account is locked.","Hesap kilitli."
"This account is not confirmed.","Hesap doğrulanmadı."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","%FieldName alanı için geçersiz değer olan ""%value"" değeri sağlandı. Olası değerler:%template1 veya %template2."
"Please enter a password with at most %1 characters.","Lütfen, %1 karakterli bir parola girin."
"Please enter a password with at least %1 characters.","Lütfen en az %1 karakterli bir şifre girin."
"The password can't begin or end with a space.","Şifrenin başında veya sonunda boşluk kullanılamaz."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Paroladaki farklı karakter sınıflarının alt değeri %1'idir. Karakter sınıfları: Küçük Harf, Büyük Harf, Rakamlar, Özel Karakterler."
"Password cannot be the same as email address.","Şifre e-posta adresiyle aynı olamaz."
"This customer already exists in this store.","Bu müşteri mağazada zaten var."
"A customer with the same email already exists in an associated website.","Aynı e-postaya sahip bir müşteri, ilişkili web sitesinde zaten mevcut."
"Reset password token mismatch.","Şifre simgesi uyumsuzluğunu sıfırlayın."
"Reset password token expired.","Şifre sıfırlama simgesinin süresi doldu."
"Please correct the transactional account email type.","Lütfen işlem hesabının e-posta türünü düzeltin."
"""%1"" is a required value.","''%1'' gerekli bir değerdir."
"Per Website","Websitesi Başına"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Hesaplar birden fazla web sitesinde aynı e-posta adreslerini paylaştığında müşteri hesaplarını genel olarak paylaşamayız."
"Please enter a valid password reset token.","Lütfen geçerli bir şifre sıfırlama simgesi girin."
"The password can not begin or end with a space.","Parola, boşlukla başlayamaz veya boşlukla bitemez."
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Böyle bir varlık yok %fieldName = %fieldValue, %field2Name = %field2Value"
"Unable to create directory %1.","Dizin oluşturulamadı %1."
"Destination folder is not writable or does not exists.","Hedef klasör yazılabilir değil veya yok."
"Something went wrong while saving the file.","Dosyayı kaydederken bir hata oluştu."
"Attribute object is undefined","Özellik nesnesi tanımlanmadı"
"""%1"" invalid type entered.","''%1'' geçersiz tür girildi."
"""%1"" contains non-alphabetic or non-numeric characters.","''%1'' alfabetik olmayan veya sayısal olmayan karakterler içeriyor."
"""%1"" is an empty string.","''%1'' boş bir dizedir."
"""%1"" contains non-numeric characters.","""%1"" sayısal olmayan karakterler içeriyor."
"""%1"" contains non-alphabetic characters.","""%1"" alfabetik olmayan karakterler içeriyor."
"""%1"" is not a valid email address.","""%1"" geçerli bir e-posta adresi değil."
"""%1"" is not a valid hostname.","''%1'' geçerli bir ana makine adı değil."
"""%1"" uses too many characters.","""%1"" çok fazla karakter kullanıyor."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' kabul edilemeyen bir formatta IP adresine benziyor."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' DNS ana makinesi adına benziyor, ancak geçersiz konumda bir çizgi içeriyor."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' DNS ana makine adına benziyor, ancak TLD '%tld%' için ana bilgisayar şemasıyla eşleşemiyoruz."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' DNS ana makine adına benziyor ancak TLD bölümünü ayıklayamıyor."
"'%value%' does not look like a valid local network name.","'%value%' geçerli bir yerel ağ adı gibi görünmüyor."
